Name;Acronym;city;state;country_name;country_code
State University of Norte Fluminense;;Rio de Janeiro;;Brazil;BR
Southwest Bahia State University;UESB;Vitória da Conquista;;Brazil;BR
Universidade Federal da Grande Dourados;UFGD;Dourados;;Brazil;BR
Universidade Federal de Ciências da Saúde de Porto Alegre;UFCSPA;Porto Alegre;;Brazil;BR
Federal University of Mato Grosso do Sul;UFMS;Campo Grande;;Brazil;BR
Universidade Federal do ABC;UFABC;Santo André;;Brazil;BR
Universidade Federal do Acre;UFAC;Rio Branco;;Brazil;BR
Universidade Federal do Espírito Santo;UFES;Vitória;;Brazil;BR
Universidade Federal do Pampa;;Bagé;;Brazil;BR
Federal University of Piauí;FUFPI;Teresina;;Brazil;BR
Universidade Federal do Vale do São Francisco;UNIVASF;Petrolina;;Brazil;BR
Universidade Federal Rural do Rio de Janeiro;UFRRJ;Seropédica;;Brazil;BR
Universidade Federal Rural do Semi-Árido;UFERSA;Mossoró;;Brazil;BR
Universidade Feevale;;Novo Hamburgo;;Brazil;BR
Methodist University of Piracicaba;UNIMEP;Piracicaba;;Brazil;BR
Universidade Paranaense;;Umuarama;;Brazil;BR
Universidade Paulista;UNIP;Santos;;Brazil;BR
Universidade Positivo;UP;Curitiba;;Brazil;BR
Universidade Presbiteriana Mackenzie;;São Paulo;;Brazil;BR
Universidade Regional de Blumenau;FURB;Blumenau;;Brazil;BR
Universidade Regional do Cariri;URCA;Crato;;Brazil;BR
Universidade Santa Úrsula;;Rio de Janeiro;;Brazil;BR
Universidade São Francisco;USF;Bragança Paulista;;Brazil;BR
Universidade Veiga de Almeida;UVA;Cabo Frio;;Brazil;BR
Pontifical Catholic University of Rio Grande do Sul;PUCRS;Porto Alegre;;Brazil;BR
Pontifícia Universidade Católica de Minas Gerais;PUC-MG;Belo Horizonte;;Brazil;BR
Pontifícia Universidade Católica do Paraná;PUCPR;Curitiba;;Brazil;BR
Pontifícia Universidade Católica de São Paulo;PUCSP;São Paulo;;Brazil;BR
Universidade Vale do Rio Verde;;Três Corações;;Brazil;BR
Universidade de Uberaba;;Uberaba;;Brazil;BR
Governador Celso Ramos Hospital;;Florianópolis;;Brazil;BR
Hospital Pró-Cardíaco;;Rio de Janeiro;;Brazil;BR
AC Camargo Hospital;;São Paulo;;Brazil;BR
Hospital Santa Izabel;HSI;Salvador;;Brazil;BR
