Name;Acronym;State Acronym;Institution Type
Faculdade de Ciências Humanas Esuda;FCHE;PE;Outros
Faculdade de Ciências Humanas, Biológicas e da Saúde;FCHBS;RR;Outros
Faculdade de Ciências Humanas, Econômicas e da Saúde de Araguaína;FAHESA / ITPAC;TO;Outros
Faculdade de Ciências Humanas, Exatas e Letras de Rondônia;FARO;RO;Outros
Faculdade de Ciências Jurídicas de Diamantina;FCJ;MG;Outros
Faculdade de Ciências Jurídicas de Juiz de Fora;Faculdades Doctum;MG;Outros
Faculdade de Ciências Jurídicas de Paraíso do Tocantins;FCJP;TO;Outros
Faculdade de Ciências Jurídicas e Gerenciais de Garça;FAEG;SP;Outros
Faculdade de Ciências Jurídicas e Gerenciais de Manhuaçu;Faculdades Doctum;MG;Outros
Faculdade de Ciências Jurídicas e Gerenciais de Oliveira;FACIJUGO;MG;Outros
Faculdade de Ciências Jurídicas e Sociais Aplicadas de Primavera do Leste;UNICEN;MT;Outros
Faculdade de Ciências Jurídicas e Sociais Aplicadas do Araguaia;Faculdades Cathedral;MT;Outros
Faculdade de Ciências Jurídicas e Sociais Aplicadas Rio Branco - Firb;FIRB;AC;Outros
Faculdade de Ciências Jurídicas e Sociais de Maceió;FAMA;AL;Outros
Faculdade de Ciências Jurídicas, Gerenciais e Educação de Sinop;FIS;MT;Outros
Faculdade de Ciências Médicas da Paraíba;FCM-PB;PB;Outros
Faculdade de Ciências Médicas da Santa Casa São Paulo;FCMSCSP;SP;Outros
Faculdade de Ciências Médicas de Campina Grande;FCM;PB;Outros
Faculdade de Ciências Médicas de Minas Gerais;FCMMG;MG;Outros
Faculdade de Ciências Médicas e da Saúde de Juiz de Fora;FCMS/JF;MG;Outros
Faculdade de Ciências Médicas e Paramédicas Fluminense;SEFLU;RJ;Outros
Faculdade de Ciências Sociais Aplicadas;FACISA;BA;Outros
Faculdade de Ciências Sociais Aplicadas;UNICEN;MT;Outros
Faculdade de Ciências Sociais Aplicadas;UNIC;MT;Outros
Faculdade de Ciências Sociais Aplicadas;FACISA - CELER;SC;Outros
Faculdade de Ciências Sociais Aplicadas - Facisa;FACISA;PB;Outros
Faculdade de Ciências Sociais Aplicadas de Belo Horizonte;FACISABH;MG;Outros
Faculdade de Ciências Sociais Aplicadas de Cascavel;FCSAC;PR;Outros
Faculdade de Ciências Sociais Aplicadas de Conselheiro Lafaiete;FACESA;MG;Outros
Faculdade de Ciências Sociais Aplicadas de Extrema;FAEX;MG;Outros
Faculdade de Ciências Sociais Aplicadas de Sinop;FACISAS;MT;Outros
Faculdade de Ciências Sociais Aplicadas de União da Vitória;UNIGUAÇU;PR;Outros
Faculdade de Ciências Sociais Aplicadas do Sul de Minas - Facesm;FACESM;MG;Outros
Faculdade de Ciências Sociais Aplicadas do Vale do São Lourenço;EDUVALE;MT;Outros
Faculdade de Ciências Sociais Aplicadas IBMEC;Faculdades Ibmec;RJ;Outros
Faculdade de Ciências Sociais Aplicadas Santo Agostinho;FACISA;MG;Outros
Faculdade de Ciências Sociais de Florianópolis;FCSF;SC;Outros
Faculdade de Ciências Sociais de Guarantã do Norte;FCSGN;MT;Outros
Faculdade de Ciências Sociais de Ibiraçu;UNIVILA;ES;Outros
Faculdade de Ciências Sociais dos Palmares;FACIP;PE;Outros
Faculdade de Ciências Sociais e Agrárias de Itapeva;FAIT;SP;Outros
Faculdade de Ciências Sociais e Aplicadas de Diamantino;UNED;MT;Outros
Faculdade de Ciências Sociais e Aplicadas do Paraná;FACET;PR;Outros
Faculdade de Ciências Sociais e Humanas Sobral Pinto;FAIESP;MT;Outros
Faculdade de Ciências Sociais e Tecnológicas FACITEC;FACITEC;DF;Outros
Faculdade de Ciências, Cultura e Extensão do Rio Grande do Norte;FACEX;RN;Outros
Faculdade de Ciências, Educação e Teologia do Norte do Brasil;FACETEN;RR;Outros
Faculdade de Ciências, Letras e Educação do Noroeste do Paraná;FACINOR;PR;Outros
Faculdade de Colider;FACIDER;MT;Outros
Faculdade de Computação e Informática da Fundação Alvares Penteado;FCI-FAAP;SP;Outros
Faculdade de Comunicação e Marketing da - Fundação Armando Álvares Penteado;FACOM-FAAP;SP;Outros
Faculdade de Comunicação Social de Guarapari;FACOM;ES;Outros
Faculdade de Comunicação Social de Hortolândia;FCSH;SP;Outros
Faculdade de Comunicação Social de Passos;FACOMP;MG;Outros
Faculdade de Comunicação Social Jk;Faculdade JK;DF;Outros
Faculdade de Desenho de Tatuí;FDT;SP;Outros
Faculdade de Desenho Industrial de Mauá;FADIM;SP;Outros
Faculdade de Desenvolvimento e Integração Regional;FADIRE;PE;Outros
Faculdade de Desenvolvimento Sustentável de Cruzeiro do Sul;IEVAL;AC;Outros
Faculdade de Direito da Alta Paulista;FADAP;SP;Outros
Faculdade de Direito da Fundação Armando Alvares Penteado;FAD-FAAP;SP;Outros
Faculdade de Direito da Serra;FABAVI;ES;Outros
Faculdade de Direito de Araguaína;ITPAC;TO;Outros
Faculdade de Direito de Bauru;FDB;SP;Outros
Faculdade de Direito de Boa Vista;FDBV;RR;Outros
Faculdade de Direito de Caruaru;FADICA;PE;Outros
Faculdade de Direito de Conselheiro Lafaiete;FDCL;MG;Outros
Faculdade de Direito de Franca;FDF;SP;Outros
Faculdade de Direito de Itabira;FDI;MG;Outros
Faculdade de Direito de Itú;FADITU;SP;Outros
Faculdade de Direito de Mogi Mirim;FDMM;SP;Outros
Faculdade de Direito de Passos;FADIPA;MG;Outros
Faculdade de Direito de Pedro Leopoldo;FADIPEL;MG;Outros
Faculdade de Direito de Porto Alegre;FADIPA;RS;Outros
Faculdade de Direito de Santa Maria;FADISMA;RS;Outros
Faculdade de Direito de São Sebastião do Paraíso;DIREITO;MG;Outros
Faculdade de Direito de Sorocaba;FADI;SP;Outros
Faculdade de Direito de Tangará da Serra;UNIC;MT;Outros
Faculdade de Direito de Varginha - Fadiva;FADIVA;MG;Outros
Faculdade de Direito de Vila Velha;UNIVILA;ES;Outros
Faculdade de Direito do Sul de Minas;FDSM;MG;Outros
Faculdade de Direito do Vale do Rio Doce;FADIVALE;MG;Outros
Faculdade de Direito e Ciências Sociais do Leste de Minas - Fadileste;FADILESTE;MG;Outros
Faculdade de Direito Francisco Beltrão;CESUL;PR;Outros
Faculdade de Direito Milton Campos;FDMC;MG;Outros
Faculdade de Direito Padre Arnaldo Janssen;FAJANSSEN;MG;Outros
Faculdade de Direito Professor Damásio de Jesus;FDDJ;SP;Outros
Faculdade de Direito Promove;Promove;MG;Outros
Faculdade de Direito Santo Agostinho;FADISA;MG;Outros
Faculdade de Direito São Judas Tadeu de Porto Alegre;SJT;RS;Outros
Faculdade de Domingos Martins;URSES;ES;Outros
Faculdade de Economia da Fundação Armando Alvares Penteado;FEC-FAAP;SP;Outros
Faculdade de Economia e Finanças do Rio de Janeiro;FEFRJ;RJ;Outros
Faculdade de Economia e Finanças IBMEC;Faculdades Ibmec;RJ;Outros
Faculdade de Economia e Processamento de Dados de Foz do Iguaçu;FEPI;PR;Outros
Faculdade de Educação Ciências e Artes Dom Bosco de Monte Aprazível;FAECA DOM BOSCO;SP;Outros
Faculdade de Educação Ciências e Letras de Paraíso;FECIPAR;TO;Outros
Faculdade de Educação Ciências e Letras de Ponta Porã;FECLEPP;MS;Outros
Faculdade de Educação Ciências e Letras Don Domênico;FECLE;SP;Outros
Faculdade de Educação Costa Braga;FCB;SP;Outros
Faculdade de Educação da Serra;FASE;ES;Outros
Faculdade de Educação de Alta Floresta;FEAFLOR;MT;Outros
Faculdade de Educação de Assis;FAEDA;SP;Outros
Faculdade de Educação de Bom Despacho;FACEB;MG;Outros
Faculdade de Educação de Colorado do Oeste;FAEC;RO;Outros
Faculdade de Educação de Costa Rica;FECRA;MS;Outros
Faculdade de Educação de Guaratinguetá;FACEG;SP;Outros
Faculdade de Educação de Itaboraí;FEITA;RJ;Outros
Faculdade de Educação de Jaru;UNICENTRO;RO;Outros
Faculdade de Educação de Nova Andradina;FENA;MS;Outros
Faculdade de Educação de Osvaldo Cruz;FEOCRUZ;SP;Outros
Faculdade de Educação de Porto Velho;UNIRON;RO;Outros
Faculdade de Educação de Tangará da Serra;FACEDUTS;MT;Outros
Faculdade de Educação de Vitória;UNIVES - AUFES;ES;Outros
Faculdade de Educação e Ciências Administrativas de Vilhena;FECAV;RO;Outros
Faculdade de Educação e Ciências Gerenciais de Indaiatuba;FECGI;SP;Outros
Faculdade de Educação e Ciências Gerenciais de São Paulo;FECG-SP;SP;Outros
Faculdade de Educação e Ciências Gerenciais de Sumaré;FECGS;SP;Outros
Faculdade de Educação e Ciências Humanas de Anicuns;FECHA;GO;Outros
Faculdade de Educação e Cultura Montessori;FAMEC;SP;Outros
Faculdade de Educação e Tecnologia da Região Missioneira;FETREMIS;RS;Outros
Faculdade de Educação Física da Associação Cristã de Moços de Sorocaba;FEFISO;SP;Outros
Faculdade de Educação Física de Araguaína;ITPAC;TO;Outros
Faculdade de Educação Física de Barra Bonita;FAEFI;SP;Outros
Faculdade de Educação Física de Foz do Iguaçu;FEPI;PR;Outros
Faculdade de Educação Física Montenegro;FAEFM;BA;Outros
Faculdade de Educação Montenegro;FAEM;BA;Outros
Faculdade de Educação São Francisco;FAESF;MA;Outros
Faculdade de Educação São Luís;FESL;SP;Outros
Faculdade de Educação Silva Serpa;FASS;RJ;Outros
Faculdade de Educação Superior de Timbaúba;FAEST;PE;Outros
Faculdade de Educação Superior do Piemonte da Chapada;FESPC;BA;Outros
Faculdade de Educação Thereza Porto Marques;FAETEC;SP;Outros
Faculdade de Educação, Administração e Tecnologia de Ibaiti;FEATI;PR;Outros
Faculdade de Educação, Ciências e Letras São Judas Tadeu;FECLSJT;RS;Outros
Faculdade de Enfermagem;ITPAC;TO;Outros
Faculdade de Enfermagem de Arcoverde;FENFA;PE;Outros
Faculdade de Enfermagem de Belo Jardim;FAEB;PE;Outros
Faculdade de Enfermagem de Passos;FAENPA;MG;Outros
Faculdade de Enfermagem do Hospital Israelita Albert Einstein;FEHIAE;SP;Outros
Faculdade de Enfermagem Luiza de Marillac;FELM;RJ;Outros
Faculdade de Enfermagem Nova Esperança;FACENE;PB;Outros
Faculdade de Enfermagem São Vicente de Paula;FESVIP;PB;Outros
Faculdade de Engenharia da Fundação Armando Alvares Penteado;FEFAAP;SP;Outros
Faculdade de Engenharia de Minas Gerais - Feamig;FEAMIG;MG;Outros
Faculdade de Engenharia de Passos;FEP;MG;Outros
Faculdade de Engenharia de Resende;FER;RJ;Outros
Faculdade de Engenharia de Sorocaba;FACENS;SP;Outros
Faculdade de Engenharia e Agrimensura de Pirassununga - Feap;FEAP;SP;Outros
Faculdade de Engenharia e Tecnologia do Instituto Mairiporã de Ensino Superior;IMENSU-FET;SP;Outros
Faculdade de Engenharia São Paulo;FESP;SP;Outros
Faculdade de Engenharia Souza Marques;FESM;RJ;Outros
Faculdade de Ensino Superior da Amazônia Reunida;FESAR;PA;Outros
Faculdade de Ensino Superior da Cidade de Feira de Santana;FAESF/UNEF;BA;Outros
Faculdade de Ensino Superior da Paraíba;FESP;PB;Outros
Faculdade de Ensino Superior de Catalão;Faculdade CESUC;GO;Outros
Faculdade de Ensino Superior de Floriano;FAESF;PI;Outros
Faculdade de Ensino Superior de Marechal Cândido Rondon;ISEPE RONDON;PR;Outros
Faculdade de Ensino Superior de São Miguel do Iguaçu;FAESI;PR;Outros
Faculdade de Ensino Superior do Centro do Paraná;UCP;PR;Outros
Faculdade de Ensino Superior do Piauí;FAESPI;PI;Outros
Faculdade de Ensino Superior Dom Bosco;FACDOMBOSCO;PR;Outros
Faculdade de Estudos Administrativos de Minas Gerais - Fead-Mg;FEAD - MG;MG;Outros
Faculdade de Estudos Avançados do Pará;FEAPA;PA;Outros
Faculdade de Estudos Sociais Aplicados de Viana;FESAV;ES;Outros
Faculdade de Estudos Sociais de Barra do Garças;FESB;MT;Outros
Faculdade de Estudos Sociais do Espírito Santo;PIO XII;ES;Outros
Faculdade de Estudos Superiores de Minas Gerais;FEAD;MG;Outros
Faculdade de Farmácia e Bioquímica;ITPAC;TO;Outros
Faculdade de Filosofia Ciências e Letras Carlos Queiroz;FAFIQUE;SP;Outros
Faculdade de Filosofia Ciências e Letras de Alegre;FAFIA;ES;Outros
Faculdade de Filosofia Ciências e Letras de Caruaru;FAFICA;PE;Outros
Faculdade de Filosofia Ciências e Letras de Congonhas;FAFIC;MG;Outros
Faculdade de Filosofia Ciências e Letras de Ituverava;FFCL;SP;Outros
Faculdade de Filosofia Ciências e Letras de Macaé;FAFIMA;RJ;Outros
Faculdade de Filosofia Ciências e Letras de Mandaguari;FAFIMAN;PR;Outros
Faculdade de Filosofia Ciências e Letras de Penápolis;FAFIPE;SP;Outros
Faculdade de Filosofia Ciências e Letras de Presidente Venceslau;FAFIPREVE;SP;Outros
Faculdade de Filosofia Ciências e Letras de São José do Rio Pardo;FFCL;SP;Outros
Faculdade de Filosofia Ciências e Letras de Tatuí;FAFICILE;SP;Outros
Faculdade de Filosofia Ciências e Letras Deputado José Laviola;FAFICIL;MG;Outros
Faculdade de Filosofia Ciências e Letras Dom Bosco;FFCLDB;RJ;Outros
Faculdade de Filosofia Ciências e Letras Nossa Senhora de Sion;FAFI/SION;MG;Outros
Faculdade de Filosofia Ciências e Letras Professora Nair Fortes Abu-Merhy;FAFI - PRONAFOR;MG;Outros
Faculdade de Filosofia Ciências e Letras Santa Marcelina;FAFISM;MG;Outros
Faculdade de Filosofia Ciências e Letras Souza Marques;FFCLSM;RJ;Outros
Faculdade de Filosofia de Passos;FAFIPA;MG;Outros
Faculdade de Filosofia e Ciências Humanas de Goiatuba;FAFICH;GO;Outros
Faculdade de Filosofia e Letras de Diamantina;FAFIDIA;MG;Outros
Faculdade de Filosofia e Teologia Paulo Vi;FFTP;SP;Outros
Faculdade de Filosofia Santa Dorotéia;FFSD;RJ;Outros
Faculdade de Filosofia, Ciências e Letras de Boa Esperança;FAFIBE;MG;Outros
Faculdade de Filosofia, Ciências e Letras de Cajazeiras;FAFIC;PB;Outros
Faculdade de Filosofia, Ciências e Letras de Carangola;FAVALE;MG;Outros
Faculdade de Filosofia, Ciências e Letras de Duque de Caxias;FFCLDC;RJ;Outros
Faculdade de Filosofia, Ciências e Letras de Ibitinga;FAIBI;SP;Outros
Faculdade de Filosofia, Ciências e Letras de Itapetininga;FFCLI;SP;Outros
Faculdade de Filosofia, Ciências e Letras de Piraju;FAFIP;SP;Outros
Faculdade de Filosofia, Ciências e Letras do Alto São Francisco;FASF;MG;Outros
Faculdade de Filosofia, Ciências e Letras Nossa Senhora Aparecida;FNSA;SP;Outros
Faculdade de Formação de Professores da Mata Sul;FAMASUL;PE;Outros
Faculdade de Formação de Professores de Afogados da Ingazeira;FAFOPAI;PE;Outros
Faculdade de Formação de Professores de Araripina;FAFOPA;PE;Outros
Faculdade de Formação de Professores de Belo Jardim;FABEJA;PE;Outros
Faculdade de Formação de Professores de Goiana;F.F.P.G.;PE;Outros
Faculdade de Formação de Professores de Penedo;FFPP;AL;Outros
Faculdade de Formação de Professores de Serra Talhada;FAFOPST;PE;Outros
Faculdade de Formação de Professores e Especialistas de Educação;FAFOPEE;RS;Outros
Faculdade de Getúlio Vargas;FACULDADE IDEAU;RS;Outros
Faculdade de Guaçuí;UVV Guaçuí;ES;Outros
Faculdade de Guanambi;;BA;Outros
Faculdade de Guararapes;FAG;SP;Outros
Faculdade de Ilha Solteira;FAISA;SP;Outros
Faculdade de Imperatriz;FACIMP;MA;Outros
Faculdade de Informática de Passos;FIP;MG;Outros
Faculdade de Informática e Administração Paulista;FIAP;SP;Outros
Faculdade de Informática Lemos de Castro;FILC;RJ;Outros
Faculdade de Integração do Ensino Superior do Cone Sul;FISUL;RS;Outros
Faculdade de Integração do Sertão;FIS;PE;Outros
Faculdade de Iporá;FAI;GO;Outros
Faculdade de Itaituba;FAI;PA;Outros
Faculdade de Itapiranga;SEI/FAI;SC;Outros
Faculdade de Itápolis - Facita;FACITA;SP;Outros
Faculdade de Jaboticabal;Fajab;SP;Outros
Faculdade de Jaguariúna;FAJ;SP;Outros
Faculdade de Jandaia do Sul;FAFIJAN;PR;Outros
Faculdade de José Bonifácio;FJB;SP;Outros
Faculdade de Juazeiro do Norte;FJN;CE;Outros
Faculdade de Jussara;FAJ;GO;Outros
Faculdade de Letras de Nova Andradina;FALENA;MS;Outros
Faculdade de Lucas do Rio Verde;FVERDE;MT;Outros
Faculdade de Macapá;FAMA;AP;Outros
Faculdade de Mantena;FAMA;MG;Outros
Faculdade de Marketing e Negócios;UNIESSA;MG;Outros
Faculdade de Mauá - FAMA;FAMA;SP;Outros
Faculdade de Medicina;ITPAC;TO;Outros
Faculdade de Medicina de Barbacena;FAME;MG;Outros
Faculdade de Medicina de Campos;FMC;RJ;Outros
Faculdade de Medicina de Itajubá;FMIt;MG;Outros
Faculdade de Medicina de Juazeiro do Norte;FMJ;CE;Outros
Faculdade de Medicina de Marília;FAMEMA;SP;Outros
Faculdade de Medicina de Petrópolis;FMP;RJ;Outros
Faculdade de Medicina de São José do Rio Preto;FAMERP;SP;Outros
Faculdade de Medicina do ABC;FMABC;SP;Outros
Faculdade de Medicina do Vale do Aço;FAMEVAÇO;MG;Outros
Faculdade de Medicina Nova Esperança;FAMENE;PB;Outros
Faculdade de Medicina Veterinária e Zootecnia;FAMED;SP;Outros
Faculdade de Milagres Ceará;FAMICE;CE;Outros
Faculdade de Minas;FAMINAS;MG;Outros
Faculdade de Minas BH;FAMINAS-BH;MG;Outros
Faculdade de Mirandópolis;FAM;SP;Outros
Faculdade de Moda de Passos;FAMOPA;MG;Outros
Faculdade de Nanuque;FANAN;MG;Outros
Faculdade de Natal;FAL;RN;Outros
Faculdade de Negócios e Tecnologias da Informação;FACNET;DF;Outros
Faculdade de Nova Serrana;FANS;MG;Outros
Faculdade de Nutrição da Fundação de Ensino Superior de Passos;FANUTRI;MG;Outros
Faculdade de Odontologia;ITPAC;TO;Outros
Faculdade de Odontologia de Caruaru;FOC;PE;Outros
Faculdade de Odontologia de Manaus;FOM;AM;Outros
Faculdade de Odontologia do Recife;FOR;PE;Outros
Faculdade de Odontologia São Leopoldo Mandic;SLMANDIC;SP;Outros
Faculdade de Orlândia;FAO;SP;Outros
Faculdade de Pará de Minas;FAPAM;MG;Outros
Faculdade de Pato Branco;FADEP;PR;Outros
Faculdade de Paulínia;FACP;SP;Outros
Faculdade de Pedagogia;ANAEC;MS;Outros
Faculdade de Pedagogia da Serra;FABAVI;ES;Outros
Faculdade de Pedagogia de Afonso Cláudio;ISEAC;ES;Outros
Faculdade de Pedagogia de Vargem Grande Paulista;FPVGP;SP;Outros
Faculdade de Pedagogia e Formação de Normalistas de Araguaína;ITPAC;TO;Outros
Faculdade de Pimenta Bueno;FAP;RO;Outros
Faculdade de Pindamonhangaba;FAPI;SP;Outros
Faculdade de Piracanjuba;FAP;GO;Outros
Faculdade de Ponta Porã;FAP;MS;Outros
Faculdade de Porto Velho;FIP;RO;Outros
Faculdade de Presidente Epitácio - Fape;FAPE;SP;Outros
Faculdade de Presidente Prudente;FAPEPE;SP;Outros
Faculdade de Presidente Venceslau;FAPREV;SP;Outros
Faculdade de Primavera;CESPRI;SP;Outros
Faculdade de Quatro Marcos;FQM;MT;Outros
Faculdade de Reabilitação da ASCE;FRASCE;RJ;Outros
Faculdade de Realeza;CESREAL;PR;Outros
Faculdade de Rolim de Moura;FAROL;RO;Outros
Faculdade de Roraima;FASES;RR;Outros
Faculdade de Sabará;SOECS;MG;Outros
Faculdade de São Bento;FSB;SP;Outros
Faculdade de São Bernardo do Campo - Fasb;FASB I;SP;Outros
Faculdade de São Lourenço;FASAMA;MG;Outros
Faculdade de São Vicente;UNIBR;SP;Outros
Faculdade de Saúde de São Paulo;FASSP;SP;Outros
Faculdade de Saúde e Desenvolvimento Humano Santo Agostinho;FS;MG;Outros
Faculdade de Saúde Ibituruna;FASI-SANTA CASA;MG;Outros
Faculdade de Saúde, Ciências Humanas e Tecnológicas do Piauí;NOVAFAPI;PI;Outros
Faculdade de Sergipe;FaSe;SE;Outros
Faculdade de Sertãozinho;FASERT;SP;Outros
Faculdade de Serviço Social de Bauru;FSSB;SP;Outros
Faculdade de Serviço Social de Passos;FASESP;MG;Outros
Faculdade de Serviço Social Santa Luzia;FSSSL;RJ;Outros
Faculdade de Sistema de Informação;ITPAC;TO;Outros
Faculdade de Sistemas de Informação de Paraíso do Tocantins;FSIP;TO;Outros
Faculdade de Sistemas de Informação de São Sebastião do Paraíso;SISTEMAS;MG;Outros
Faculdade de Sorriso;FAIS;MT;Outros
Faculdade de Talentos Humanos;FACTHUS;MG;Outros
Faculdade de Tecnologia Camões;FATEC;PR;Outros
Faculdade de Tecnologia Cenacap;CENACAP;DF;Outros
Faculdade de Tecnologia da Amazônia;FAZ;PA;Outros
Faculdade de Tecnologia de Minas Gerais;FATEMG;MG;Outros
Faculdade de Tecnologia de Ponta Porã;FATEP;MS;Outros
Faculdade de Tecnologia de São Vicente;FATEF;SP;Outros
Faculdade de Tecnologia do Piauí;FATEPI;PI;Outros
Faculdade de Tecnologia e Ciências;FTC SALVADOR;BA;Outros
Faculdade de Tecnologia e Ciências de Feira de Santana;FTC;BA;Outros
Faculdade de Tecnologia e Ciências de Itabuna;FTC;BA;Outros
Faculdade de Tecnologia e Ciências de Jequié;FTC;BA;Outros
Faculdade de Tecnologia e Ciências de Vitória da Conquista;FTC;BA;Outros
Faculdade de Tecnologia Egídio José da Silva;FATEGIDIO;MG;Outros
Faculdade de Tecnologia Empresarial;FTE;BA;Outros
Faculdade de Tecnologia Intensiva;FATECI;CE;Outros
Faculdade de Tecnologia Ipuc;FATIPUC;RS;Outros
Faculdade de Tecnologia Novo Rumo;;MG;Outros
Faculdade de Tecnologia Saint Pastous;FSP;RS;Outros
Faculdade de Teixeira de Freitas;FACTEF;BA;Outros
Faculdade de Telêmaco Borba;FATEB;PR;Outros
Faculdade de Tupi Paulista;CESTUPI;SP;Outros
Faculdade de Turismo de Caratinga;FATUR;MG;Outros
Faculdade de Turismo de Nova Andradina;FATUR;MS;Outros
Faculdade de Viçosa;FDV;MG;Outros
Faculdade de Vila Velha;UNIVILA;ES;Outros
Faculdade de Vinhedo;FV;SP;Outros
Faculdade de Vitória;UVV Vitória;ES;Outros
Faculdade Decisão;FADEC;SC;Outros
Faculdade Decisão;FADE;PE;Outros
Faculdade Dehoniana;DEHONIANA;SP;Outros
Faculdade Del Rey;FDR;MG;Outros
Faculdade Delta;FacDelta;BA;Outros
Faculdade Diadema;FAD;SP;Outros
Faculdade Dinâmica das Cataratas;UDC;PR;Outros
Faculdade Divinópolis;FACED;MG;Outros
Faculdade do Acre;FAC;AC;Outros
Faculdade do Agreste de Pernambuco;FAAPE;PE;Outros
Faculdade do Amapá;FAMAP;AP;Outros
Faculdade do Amazonas;IAES;AM;Outros
Faculdade do Baixo Parnaíba;FAP;MA;Outros
Faculdade do Centro Leste;UCL;ES;Outros
Faculdade do Clube Náutico Mogiano;FCNM;SP;Outros
Faculdade do Descobrimento;FACDESCO;BA;Outros
Faculdade do Espírito Santo;UNES;ES;Outros
Faculdade do Futuro;FAF;MG;Outros
Faculdade do Guarujá;FAG;SP;Outros
Faculdade do Instituto Brasil;FIBRA;GO;Outros
Faculdade do Instituto Nacional de Pós-Graduação de Campinas;Fac. INPG - Campinas;SP;Outros
Faculdade do Instituto Nacional de Pós-Graduação de São José dos Campos;Faculdade INPG - SJC;SP;Outros
Faculdade do Interior Paulista;FIP;SP;Outros
Faculdade do Litoral Catarinense;FLC;SC;Outros
Faculdade do Litoral Paranaense;FLP;PR;Outros
Faculdade do Litoral Sul Paulista;FALS;SP;Outros
Faculdade do Maranhão;FACAM-MA;MA;Outros
Faculdade do Noroeste de Minas;FINOM;MG;Outros
Faculdade do Noroeste Paranaense;FANP;PR;Outros
Faculdade do Norte Novo de Apucarana;FACNOPAR;PR;Outros
Faculdade do Norte Pioneiro;FANORPI;PR;Outros
Faculdade do Pará;FAP;PA;Outros
Faculdade do Seridó;FAS;RN;Outros
Faculdade do Sertão;UESSBA;BA;Outros
Faculdade do Sudeste Goiano;FASUG;GO;Outros
Faculdade do Sul;FACSUL;BA;Outros
Faculdade do Sul da Bahia;FASB;BA;Outros
Faculdade do Sul de Mato Grosso;FACSUL;MT;Outros
Faculdade do Tapajós;FAT;PA;Outros
Faculdade do Vale do Ipojuca;FAVIP;PE;Outros
Faculdade do Vale do Itajaí Mirim;FAVIM;SC;Outros
Faculdade do Vale do Itapecurú;FAI;MA;Outros
Faculdade do Vale do Jaguaribe;FVJ;CE;Outros
Faculdade Dois de Julho;F2J;BA;Outros
Faculdade Dom Alberto;FDA;RS;Outros
Faculdade Dom Bosco;DOM BOSCO;PR;Outros
Faculdade Dom Bosco;FDB;PR;Outros
Faculdade Dom Bosco de Goioerê;FDBG;PR;Outros
Faculdade Dom Bosco de Porto Alegre;FDB;RS;Outros
Faculdade Dom Bosco de Ubiratã;Dom Bosco;PR;Outros
Faculdade Dom Pedro II;FDPII;BA;Outros
Faculdade dos Cerrados Piauienses;FCP;PI;Outros
Faculdade dos Guararapes;FG;PE;Outros
Faculdade dos Imigrantes - Fai;FAI;RS;Outros
Faculdade Doutor Francisco Maeda;FAFRAM;SP;Outros
Faculdade Doutor Leocádio José Correia;FALEC;PR;Outros
Faculdade Eça de Queiros;FACEQ;SP;Outros
Faculdade Editora Nacional;FAENAC;SP;Outros
Faculdade Educação Física de Passos;FADEF;MG;Outros
Faculdade Educacional da Lapa;FAEL;PR;Outros
Faculdade Educacional de Arapoti;FATI;PR;Outros
Faculdade Educacional de Araucária;FACEAR;PR;Outros
Faculdade Educacional de Colombo;FAEC;PR;Outros
Faculdade Educacional de Cornélio Procópio;FACED;PR;Outros
Faculdade Educacional de Dois Vizinhos;FAED;PR;Outros
Faculdade Educacional de Medianeira;FACEMED;PR;Outros
Faculdade Educacional de Ponta Grossa;UNIÃO;PR;Outros
Faculdade Eduvale de Avaré;EDUVALE;SP;Outros
Faculdade Empresarial de Chapecó;FAEM;SC;Outros
Faculdade Energia de Administração e Negócios;Fean;SC;Outros
Faculdade ENIAC;ENIAC;SP;Outros
Faculdade Equipe;FAE;RS;Outros
Faculdade Ernesto Riscali;FAER;SP;Outros
Faculdade Escritor Osman da Costa Lins;FACOL;PE;Outros
Faculdade Espírito Santense;UNICAPE;ES;Outros
Faculdade Espírito Santense de Ciências Jurídicas;PIO XII - DIR;ES;Outros
Faculdade Estácio de Sá de Belo Horizonte;FESBH;MG;Outros
Faculdade Estácio de Sá de Campo Grande;FESCG;MS;Outros
Faculdade Estácio de Sá de Goiás;FAGO;GO;Outros
Faculdade Estácio de Sá de Juiz de Fora;FESJF;MG;Outros
Faculdade Estácio de Sá de Ourinhos;FAESO;SP;Outros
Faculdade Estácio de Sá de Santa Catarina;FESSC;SC;Outros
Faculdade Estácio de Sá de Vila Velha;FESVV;ES;Outros
Faculdade Estácio de Sá de Vitória;FESV;ES;Outros
Faculdade Estadual de Ciências e Letras de Campo Mourão;FECILCAM;PR;Outros
Faculdade Estadual de Ciências Econômicas de Apucarana;FECEA;PR;Outros
Faculdade Estadual de Direito do Norte Pioneiro;FUNDINOPI;PR;Outros
Faculdade Estadual de Educação Ciências e Letras de Paranavaí;FAFIPA;PR;Outros
Faculdade Estadual de Educação Física de Jacarezinho;FAEFIJA;PR;Outros
Faculdade Estadual de Filosofia Ciências e Letras de Cornélio Procópio;FAFICOP;PR;Outros
Faculdade Estadual de Filosofia Ciências e Letras de Jacarezinho;FAFIJA;PR;Outros
Faculdade Estadual de Filosofia Ciências Letras União da Vitória;FAFI;PR;Outros
Faculdade Estadual de Filosofia, Ciências e Letras de Paranaguá;FAFIPAR;PR;Outros
