Name;Acronym;State Acronym;Institution Type
Faculdade Alvorada de Educação Física e Desporto;FAEFD;DF;Outros
Faculdade Alvorada de Informática e Processamento de Dados;FAIPD;DF;Outros
Faculdade Alvorada de Tecnologia e Educação de Maringá;FACULDADE ALVORADA;PR;Outros
Faculdade Amadeus;FAMA;SE;Outros
Faculdade Amec Trabuco;Amec;BA;Outros
Faculdade Ampére;FAMPER;PR;Outros
Faculdade Anchieta;IGABC;SP;Outros
Faculdade Anchieta;FAESP;PR;Outros
Faculdade Anglicana de Erechim;FAE;RS;Outros
Faculdade Anglo-Americano;FAA;PR;Outros
Faculdade Anhaguera de Indaiatuba;;SP;Outros
Faculdade Anhaguera de Jundiaí;FPJ;SP;Outros
Faculdade Anhanguera de Matão;FPM;SP;Outros
Faculdade Anhanguera de Rio Claro;;SP;Outros
Faculdade Anhanguera de Santa Bárbara;FAC Santa Bárbara;SP;Outros
Faculdade Anhanguera de Taubaté;FAC;SP;Outros
Faculdade Anhanguera de Valinhos;FAV;SP;Outros
Faculdade Anísio Teixeira de Feira de Santana;FAT;BA;Outros
Faculdade Anita Garibaldi;FAAG;SC;Outros
Faculdade Apoio;FA;BA;Outros
Faculdade Araguaia;FARA;GO;Outros
Faculdade Arnaldo Horácio Ferreira;FAAHF;BA;Outros
Faculdade Arthur Sá Earp Neto;FASE;RJ;Outros
Faculdade Asa de Brumadinho;IECEMB - FAB;MG;Outros
Faculdade Assis Gurgacz;FAG;PR;Outros
Faculdade Associada Brasil;FAB;SP;Outros
Faculdade Atenas;;MG;Outros
Faculdade Atenas Maranhense;FAMA;MA;Outros
Faculdade Atenas Maranhense de Imperatriz;FAMA;MA;Outros
Faculdade Ateneu;FATE;CE;Outros
Faculdade Atlântico;FA;SE;Outros
Faculdade Atlântico Sul de Pelotas;ATLÂNTICOSUL;RS;Outros
Faculdade Atlântico Sul do Rio Grande;ATLÂNTICOSUL;RS;Outros
Faculdade Atual;FAAT;AP;Outros
Faculdade Atual da Amazônia;FAA;RR;Outros
Faculdade Autônoma de Direito;FADISP;SP;Outros
Faculdade Avantis;AVANTIS;SC;Outros
Faculdade Ávila;FAC;GO;Outros
Faculdade Baiana de Ciências;FABAC;BA;Outros
Faculdade Baiana de Ciências Contábeis;FABAC;BA;Outros
Faculdade Baiana de Direito e Gestão;;BA;Outros
Faculdade Bandeirantes;FABAN;SP;Outros
Faculdade Bandeirantes de Educação Superior;UNISUZ;SP;Outros
Faculdade Barão de Piratininga;AES;SP;Outros
Faculdade Barão do Rio Branco;FAB;AC;Outros
Faculdade Barddal;FB-SI;SC;Outros
Faculdade Barddal de Artes Aplicadas;FB-AA;SC;Outros
Faculdade Barddal de Ciências Contábeis;FB-CC;SC;Outros
Faculdade Barretos;FB;SP;Outros
Faculdade Batista Brasileira;FBB;BA;Outros
Faculdade Batista da Serra;FABAVI;ES;Outros
Faculdade Batista de Minas Gerais;FBMG;MG;Outros
Faculdade Batista de Vila Velha;FABAVI;ES;Outros
Faculdade Batista de Vitória;FABAVI;ES;Outros
Faculdade Batista do Rio de Janeiro;FABAT;RJ;Outros
Faculdade Betel de Goianésia;FABEGO;GO;Outros
Faculdade Béthencourt da Silva;FABES;RJ;Outros
Faculdade Bezerra de Araújo;FABA;RJ;Outros
Faculdade Birigui;Fabi;SP;Outros
Faculdade Boa Viagem;FBV;PE;Outros
Faculdade Boa Viagem - Instituto Materno Infantil de Pernambuco;FBV-IMIP;PE;Outros
Faculdade Boas Novas de Ciências Teológicas, Sociais e Biotecnológicas;FBNCTSB;AM;Outros
Faculdade Brasileira;UNIVIX;ES;Outros
Faculdade Brasileira de Ciências Exatas, Humanas e Sociais - Fabrai;FABRAI;MG;Outros
Faculdade Brasileira de Ciências Jurídicas;FBCJ;RJ;Outros
