Name,Acronym,city,state,country_name,country_code
State University of Santa Cruz,UESC,Ilhéus,None,Brazil,BR
State University of Ceará,UECE,Fortaleza,None,Brazil,BR
Universidade Estadual do Centro-Oeste,UNICENTRO,Guarapuava,None,Brazil,BR
State University of Norte Fluminense,None,Rio de Janeiro,None,Brazil,BR
Southwest Bahia State University,UESB,Vitória da Conquista,None,Brazil,BR
Universidade Federal da Grande Dourados,UFGD,Dourados,None,Brazil,BR
Universidade Federal de Ciências da Saúde de Porto Alegre,UFCSPA,Porto Alegre,None,Brazil,BR
Federal University of Mato Grosso do Sul,UFMS,Campo Grande,None,Brazil,BR
Universidade Federal do ABC,UFABC,Santo André,None,Brazil,BR
Universidade Federal do Acre,UFAC,Rio Branco,None,Brazil,BR
Universidade Federal do Espírito Santo,UFES,Vitória,None,Brazil,BR
Universidade Federal do Pampa,None,Bagé,None,Brazil,BR
Federal University of Piauí,FUFPI,Teresina,None,Brazil,BR
Universidade Federal do Vale do São Francisco,UNIVASF,Petrolina,None,Brazil,BR
Universidade Federal Rural do Rio de Janeiro,UFRRJ,Seropédica,None,Brazil,BR
Universidade Federal Rural do Semi-Árido,UFERSA,Mossoró,None,Brazil,BR
Universidade Feevale,None,Novo Hamburgo,None,Brazil,BR
Methodist University of Piracicaba,UNIMEP,Piracicaba,None,Brazil,BR
Universidade Paranaense,None,Umuarama,None,Brazil,BR
Universidade Paulista,UNIP,Santos,None,Brazil,BR
Universidade Positivo,UP,Curitiba,None,Brazil,BR
Universidade Presbiteriana Mackenzie,None,São Paulo,None,Brazil,BR
Universidade Regional de Blumenau,FURB,Blumenau,None,Brazil,BR
Universidade Regional do Cariri,URCA,Crato,None,Brazil,BR
Universidade Santa Úrsula,None,Rio de Janeiro,None,Brazil,BR
Universidade São Francisco,USF,Bragança Paulista,None,Brazil,BR
Universidade Veiga de Almeida,UVA,Cabo Frio,None,Brazil,BR
Pontifical Catholic University of Rio Grande do Sul,PUCRS,Porto Alegre,None,Brazil,BR
Pontifícia Universidade Católica de Minas Gerais,PUC-MG,Belo Horizonte,None,Brazil,BR
Pontifícia Universidade Católica do Paraná,PUCPR,Curitiba,None,Brazil,BR
Pontifícia Universidade Católica de São Paulo,PUCSP,São Paulo,None,Brazil,BR
Universidade Vale do Rio Verde,None,Três Corações,None,Brazil,BR
Universidade de Uberaba,None,Uberaba,None,Brazil,BR
Governador Celso Ramos Hospital,None,Florianópolis,None,Brazil,BR
Hospital Pró-Cardíaco,None,Rio de Janeiro,None,Brazil,BR
AC Camargo Hospital,None,São Paulo,None,Brazil,BR
